Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
339,E'Twaun Moore\mooreet01,SG,30,NOP,44,5,861,162,380,.426,56,150,.373,106,230,.461,.500,27,41,.659,28,83,111,67,24,8,32,68,407
340,Ja Morant\moranja01,PG,20,MEM,50,50,1495,333,677,.492,38,107,.355,295,570,.518,.520,178,229,.777,32,140,172,345,48,13,164,79,882
341,Juwan Morgan\morgaju01,PF,22,UTA,15,0,68,9,16,.563,1,4,.250,8,12,.667,.594,0,0,,5,14,19,2,0,1,3,7,19
342,Marcus Morris\morrima03,SF-PF,30,TOT,47,47,1518,298,677,.440,121,282,.429,177,395,.448,.530,163,198,.823,50,202,252,65,37,21,82,140,880
342,Marcus Morris\morrima03,SF,30,NYK,43,43,1387,281,636,.442,116,264,.439,165,372,.444,.533,163,198,.823,48,185,233,59,34,17,73,128,841
342,Marcus Morris\morrima03,PF,30,LAC,4,4,131,17,41,.415,5,18,.278,12,23,.522,.476,0,0,,2,17,19,6,3,4,9,12,39
343,Markieff Morris\morrima02,PF,30,DET,44,16,988,175,389,.450,75,189,.397,100,200,.500,.546,61,79,.772,24,149,173,69,26,11,70,104,486
344,Monte Morris\morrimo01,PG,24,DEN,57,8,1214,197,427,.461,48,124,.387,149,303,.492,.518,44,55,.800,20,84,104,205,44,11,38,56,486
345,Johnathan Motley\motlejo01,PF,24,LAC,13,0,41,11,15,.733,1,1,1.000,10,14,.714,.767,5,7,.714,3,7,10,8,3,0,5,6,28
346,Emmanuel Mudiay\mudiaem01,PG,23,UTA,46,1,742,134,284,.472,27,75,.360,107,209,.512,.519,50,67,.746,17,97,114,107,19,10,63,61,345
347,Dejounte Murray\murrade01,PG,23,SAS,52,44,1284,221,458,.483,29,75,.387,192,383,.501,.514,70,88,.795,60,240,300,209,87,13,97,112,541
348,Jamal Murray\murraja01,PG,22,DEN,47,47,1528,332,726,.457,85,251,.339,247,475,.520,.516,140,157,.892,35,149,184,224,58,14,107,81,889
349,Džanan Musa\musadz01,SF,20,BRK,35,0,404,50,139,.360,15,65,.231,35,74,.473,.414,33,44,.750,19,52,71,31,13,1,29,25,148
350,Mike Muscala\muscami01,C,28,OKC,38,0,468,62,150,.413,41,113,.363,21,37,.568,.550,18,22,.818,13,77,90,31,7,10,13,46,183
351,Sviatoslav Mykhailiuk\mykhasv01,SF,22,DET,49,20,1081,142,332,.428,97,234,.415,45,98,.459,.574,49,57,.860,15,70,85,80,31,4,51,72,430
352,Abdel Nader\naderab01,SF,26,OKC,41,5,627,85,181,.470,32,89,.360,53,92,.576,.558,38,48,.792,11,54,65,26,16,12,33,53,240
353,Larry Nance\nancela02,C,27,CLE,47,8,1182,182,347,.524,46,136,.338,136,211,.645,.591,40,59,.678,86,255,341,91,40,21,50,76,450
354,Shabazz Napier\napiesh01,PG,28,TOT,42,22,969,130,319,.408,56,181,.309,74,138,.536,.495,81,98,.827,20,101,121,210,49,8,88,70,397
354,Shabazz Napier\napiesh01,PG,28,MIN,36,22,856,114,283,.403,47,159,.296,67,124,.540,.486,72,88,.818,17,93,110,187,40,7,76,62,347
354,Shabazz Napier\napiesh01,PG,28,WAS,6,0,113,16,36,.444,9,22,.409,7,14,.500,.569,9,10,.900,3,8,11,23,9,1,12,8,50
355,Raul Neto\netora01,PG,27,PHI,46,3,515,68,158,.430,24,65,.369,44,93,.473,.506,18,22,.818,11,39,50,68,21,5,36,38,178
356,Malik Newman\newmama01,SG,22,CLE,1,0,4,0,2,.000,0,1,.000,0,1,.000,.000,2,2,1.000,0,0,0,0,0,0,1,0,2
357,Georges Niang\niangge01,PF,26,UTA,50,0,677,103,225,.458,65,155,.419,38,70,.543,.602,19,22,.864,11,85,96,34,12,5,25,59,290
358,Nerlens Noel\noelne01,C,25,OKC,48,6,891,155,228,.680,1,3,.333,154,225,.684,.682,70,88,.795,76,165,241,50,51,72,46,125,381
359,Zach Norvell\norveza01,SG,22,TOT,5,0,41,3,12,.250,3,8,.375,0,4,.000,.375,1,1,1.000,0,6,6,3,2,0,3,4,10
359,Zach Norvell\norveza01,SG,22,LAL,2,0,5,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0
359,Zach Norvell\norveza01,SG,22,GSW,3,0,36,3,11,.273,3,8,.375,0,3,.000,.409,1,1,1.000,0,5,5,3,2,0,3,4,10
360,Jaylen Nowell\nowelja01,SG,20,MIN,10,0,117,16,44,.364,3,23,.130,13,21,.619,.398,11,12,.917,3,7,10,13,0,1,3,6,46
361,Frank Ntilikina\ntilila01,PG,21,NYK,50,26,1041,110,286,.385,36,116,.310,74,170,.435,.448,40,46,.870,21,89,110,149,47,16,64,124,296
362,Kendrick Nunn\nunnke01,SG,24,MIA,53,53,1590,322,726,.444,105,301,.349,217,425,.511,.516,71,84,.845,14,127,141,187,47,11,91,118,820
363,David Nwaba\nwabada01,SF,27,BRK,20,0,268,37,71,.521,12,28,.429,25,43,.581,.606,18,27,.667,8,37,45,8,11,12,8,32,104
364,Royce O'Neale\onealro01,PF,26,UTA,56,48,1624,121,272,.445,68,170,.400,53,102,.520,.570,26,31,.839,21,267,288,142,40,23,46,159,336
365,Kyle O'Quinn\oquinky01,C,29,PHI,22,1,221,32,64,.500,7,21,.333,25,43,.581,.555,5,11,.455,27,54,81,32,4,17,18,29,76
366,Semi Ojeleye\ojelese01,PF,25,BOS,53,4,772,51,129,.395,28,80,.350,23,49,.469,.504,24,27,.889,20,80,100,29,18,4,10,56,154
367,Jahlil Okafor\okafoja01,C,24,NOP,27,9,420,88,144,.611,1,2,.500,87,142,.613,.615,37,58,.638,46,71,117,36,7,19,36,62,214
