Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
368,Elie Okobo\okoboel01,PG,22,PHO,47,3,621,63,159,.396,23,65,.354,40,94,.426,.469,41,61,.672,14,59,73,101,22,4,30,45,190
369,Josh Okogie\okogijo01,SG,21,MIN,53,19,1299,145,348,.417,34,136,.250,111,212,.524,.466,136,172,.791,72,159,231,83,60,21,75,115,460
370,KZ Okpala\okpalkz01,SF,20,MIA,5,0,26,3,5,.600,0,1,.000,3,4,.750,.600,1,2,.500,1,4,5,1,2,1,1,2,7
371,Victor Oladipo\oladivi01,SG,27,IND,8,5,200,31,93,.333,11,44,.250,20,49,.408,.392,13,17,.765,6,11,17,21,4,1,16,12,86
372,Kelly Olynyk\olynyke01,C,28,MIA,50,4,972,128,279,.459,65,163,.399,63,116,.543,.575,63,73,.863,33,192,225,73,34,17,55,124,384
373,Miye Oni\onimi01,SG,22,UTA,3,0,8,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,1,0,0
374,Cedi Osman\osmande01,SF,24,CLE,56,56,1628,230,517,.445,106,275,.385,124,242,.512,.547,51,80,.638,28,174,202,135,46,15,78,135,617
375,Kelly Oubre\oubreke01,SF,24,PHO,55,54,1895,366,813,.450,107,304,.352,259,509,.509,.516,189,242,.781,67,291,358,83,70,39,82,188,1028
376,Tariq Owens\owensta01,PF,24,PHO,3,0,15,1,5,.200,0,2,.000,1,3,.333,.200,2,2,1.000,2,1,3,0,1,0,0,1,4
377,Jeremy Pargo\pargoje01,PG,33,GSW,3,0,44,11,22,.500,3,7,.429,8,15,.533,.568,0,1,.000,1,2,3,8,1,0,4,8,25
378,Jabari Parker\parkeja01,PF,24,TOT,33,23,852,199,399,.499,31,116,.267,168,283,.594,.538,55,74,.743,54,141,195,60,42,15,60,94,484
378,Jabari Parker\parkeja01,PF,24,ATL,32,23,837,198,393,.504,31,115,.270,167,278,.601,.543,53,72,.736,54,137,191,58,42,15,60,93,480
378,Jabari Parker\parkeja01,PF,24,SAC,1,0,15,1,6,.167,0,1,.000,1,5,.200,.167,2,2,1.000,0,4,4,2,0,0,0,1,4
379,Chandler Parsons\parsoch01,SF,31,ATL,5,0,54,5,18,.278,4,14,.286,1,4,.250,.389,0,0,,1,6,7,3,4,1,3,3,14
380,Eric Paschall\pascher01,PF,23,GSW,52,25,1397,263,541,.486,30,106,.283,233,435,.536,.514,131,169,.775,74,171,245,87,30,13,83,111,687
381,Anžejs Pasečņiks\pasecan01,C,24,WAS,20,0,370,54,102,.529,0,2,.000,54,100,.540,.529,31,50,.620,37,57,94,17,8,10,22,58,139
382,Patrick Patterson\pattepa01,PF,30,LAC,46,18,578,71,178,.399,50,134,.373,21,44,.477,.539,27,34,.794,29,88,117,29,6,3,15,40,219
383,Justin Patton\pattoju01,C,22,OKC,5,0,24,4,10,.400,1,4,.250,3,6,.500,.450,0,0,,1,4,5,2,0,0,2,4,9
384,Chris Paul\paulch01,PG,34,OKC,56,56,1777,345,709,.487,92,252,.365,253,457,.554,.551,199,222,.896,20,265,285,373,86,8,120,128,981
385,Elfrid Payton\paytoel01,PG,25,NYK,36,27,988,153,356,.430,14,59,.237,139,297,.468,.449,30,56,.536,43,126,169,247,61,16,72,74,350
386,Gary Payton\paytoga02,PG,27,WAS,24,17,407,44,108,.407,12,41,.293,32,67,.478,.463,4,8,.500,25,48,73,45,32,7,19,48,104
387,Norvel Pelle\pelleno01,C,26,PHI,17,0,170,18,33,.545,0,0,,18,33,.545,.545,6,12,.500,15,43,58,7,1,25,13,36,42
388,Theo Pinson\pinsoth01,SG,24,BRK,29,0,346,45,152,.296,15,78,.192,30,74,.405,.345,15,16,.938,10,41,51,53,15,2,32,33,120
389,Mason Plumlee\plumlma01,C,29,DEN,45,1,778,133,217,.613,0,4,.000,133,213,.624,.613,64,116,.552,80,165,245,109,25,27,66,101,330
390,Vincent Poirier\poirivi01,C,26,BOS,19,0,111,15,31,.484,1,2,.500,14,29,.483,.500,6,7,.857,10,24,34,7,2,6,6,22,37
391,Jakob Pöltl\poeltja01,C,24,SAS,56,9,951,133,215,.619,0,0,,133,215,.619,.619,35,70,.500,103,203,306,100,30,84,44,95,301
392,Shamorie Ponds\pondssh01,PG,21,TOR,4,0,11,3,5,.600,1,2,.500,2,3,.667,.700,2,2,1.000,0,1,1,2,0,1,0,2,9
393,Jordan Poole\poolejo01,SG,20,GSW,50,12,1097,135,436,.310,62,233,.266,73,203,.360,.381,82,99,.828,7,99,106,102,31,9,56,82,414
394,Kevin Porter\porteke02,SF,19,CLE,44,2,979,158,350,.451,43,126,.341,115,224,.513,.513,57,80,.713,17,119,136,86,39,10,84,121,416
395,Michael Porter\portemi01,PF,21,DEN,41,1,573,124,247,.502,38,90,.422,86,157,.548,.579,31,39,.795,44,132,176,29,17,18,31,69,317
396,Otto Porter\porteot01,SF,26,CHI,9,9,226,35,84,.417,16,40,.400,19,44,.432,.512,15,20,.750,8,23,31,14,9,3,7,20,101
397,Bobby Portis\portibo01,C,24,NYK,56,4,1169,210,484,.434,58,163,.356,152,321,.474,.494,60,79,.759,76,220,296,87,28,11,63,98,538
398,Kristaps Porziņģis\porzikr01,PF,24,DAL,43,43,1317,274,655,.418,101,286,.353,173,369,.469,.495,149,191,.780,70,323,393,67,30,84,72,135,798
399,Dwight Powell\poweldw01,C,28,DAL,40,37,1061,146,229,.638,10,39,.256,136,190,.716,.659,74,111,.667,75,152,227,59,34,22,36,102,376
400,Norman Powell\powelno01,SG,26,TOR,38,17,1072,210,422,.498,77,192,.401,133,230,.578,.589,84,100,.840,22,125,147,64,48,14,57,76,581
401,Julius Randle\randlju01,PF,25,NYK,54,54,1770,386,853,.453,55,209,.263,331,644,.514,.485,203,287,.707,122,396,518,174,44,18,165,151,1030
402,Josh Reaves\reavejo02,SG,22,DAL,2,0,1,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0
403,Cam Reddish\reddica01,SF,20,ATL,50,32,1323,165,462,.357,63,207,.304,102,255,.400,.425,89,111,.802,32,157,189,78,54,24,80,115,482
404,J.J. Redick\redicjj01,SG,35,NOP,52,35,1401,251,558,.450,156,345,.452,95,213,.446,.590,144,160,.900,9,125,134,102,19,9,63,81,802
405,Naz Reid\reidna01,C,20,MIN,21,2,270,63,149,.423,25,70,.357,38,79,.481,.507,21,28,.750,19,47,66,16,10,10,14,54,172
406,Josh Richardson\richajo01,SG,26,PHI,43,41,1329,227,525,.432,66,199,.332,161,326,.494,.495,93,117,.795,34,106,140,136,42,27,89,113,613
407,Austin Rivers\riverau01,SG,27,HOU,52,4,1222,157,379,.414,70,205,.341,87,174,.500,.507,53,77,.688,19,107,126,81,37,9,31,94,437
408,Duncan Robinson\robindu01,SF,25,MIA,56,51,1639,236,516,.457,197,454,.434,39,62,.629,.648,41,46,.891,8,170,178,80,28,13,45,160,710
409,Glenn Robinson\robingl02,SF,26,TOT,52,50,1574,257,530,.485,68,176,.386,189,354,.534,.549,63,74,.851,67,165,232,88,51,15,51,86,645
409,Glenn Robinson\robingl02,SF,26,GSW,48,48,1516,244,507,.481,68,170,.400,176,337,.522,.548,63,74,.851,66,160,226,85,45,14,50,82,619
409,Glenn Robinson\robingl02,SF,26,PHI,4,2,58,13,23,.565,0,6,.000,13,17,.765,.565,0,0,,1,5,6,3,6,1,1,4,26
410,Jerome Robinson\robinje01,SG,22,TOT,47,1,561,56,164,.341,23,78,.295,33,86,.384,.412,12,21,.571,6,73,79,52,15,8,28,67,147
410,Jerome Robinson\robinje01,SG,22,LAC,42,1,476,46,136,.338,19,67,.284,27,69,.391,.408,11,19,.579,5,55,60,46,13,8,26,55,122
410,Jerome Robinson\robinje01,SG,22,WAS,5,0,85,10,28,.357,4,11,.364,6,17,.353,.429,1,2,.500,1,18,19,6,2,0,2,12,25
411,Justin Robinson\robinju01,PG,22,WAS,9,0,49,5,12,.417,3,5,.600,2,7,.286,.542,0,0,,1,4,5,7,0,1,3,2,13
412,Mitchell Robinson\robinmi01,C,21,NYK,52,7,1171,204,279,.731,0,0,,204,279,.731,.731,68,117,.581,148,201,349,28,45,98,34,174,476
413,Isaiah Roby\robyis01,SF,21,OKC,2,0,5,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0
414,Rajon Rondo\rondora01,PG,33,LAL,40,2,836,120,279,.430,38,108,.352,82,171,.480,.498,26,39,.667,20,110,130,211,35,2,78,49,304
415,Derrick Rose\rosede01,PG,31,DET,47,12,1231,345,710,.486,42,141,.298,303,569,.533,.515,112,130,.862,24,89,113,267,36,15,118,46,844
416,Terrence Ross\rosste01,SG,28,ORL,54,0,1447,246,639,.385,121,375,.323,125,264,.473,.480,114,137,.832,13,153,166,59,61,19,53,78,727
417,Terry Rozier\roziete01,PG,25,CHO,55,55,1879,340,811,.419,143,367,.390,197,444,.444,.507,146,168,.869,44,204,248,221,57,10,128,113,969
418,Ricky Rubio\rubiori01,PG,29,PHO,49,49,1535,210,522,.402,53,158,.335,157,364,.431,.453,134,161,.832,35,182,217,423,70,9,131,120,607
419,D'Angelo Russell\russeda01,PG,23,TOT,36,36,1161,294,686,.429,129,347,.372,165,339,.487,.523,128,160,.800,15,119,134,235,34,10,113,70,845
419,D'Angelo Russell\russeda01,PG,23,GSW,33,33,1060,273,635,.430,120,321,.374,153,314,.487,.524,113,144,.785,14,108,122,206,31,9,101,64,779
419,D'Angelo Russell\russeda01,PG,23,MIN,3,3,101,21,51,.412,9,26,.346,12,25,.480,.500,15,16,.938,1,11,12,29,3,1,12,6,66
420,Domantas Sabonis\sabondo01,C,23,IND,54,54,1867,393,733,.536,13,58,.224,380,675,.563,.545,188,258,.729,164,509,673,259,40,28,147,180,987
421,JaKarr Sampson\sampsja02,SF,26,IND,19,10,256,35,61,.574,2,12,.167,33,49,.673,.590,4,10,.400,11,33,44,4,6,8,6,33,76
422,Dario Šarić\saricda01,PF,25,PHO,50,43,1213,175,397,.441,59,189,.312,116,208,.558,.515,61,72,.847,76,218,294,94,30,12,63,111,470
423,Tomáš Satoranský\satorto01,PG,28,CHI,58,58,1671,216,490,.441,62,183,.339,154,307,.502,.504,98,113,.867,62,154,216,316,76,7,111,121,592
424,Admiral Schofield\schofad01,SF,22,WAS,26,2,292,30,75,.400,14,47,.298,16,28,.571,.493,9,13,.692,6,28,34,14,8,3,7,41,83
425,Dennis Schröder\schrode01,PG,26,OKC,56,1,1742,396,842,.470,111,289,.384,285,553,.515,.536,163,192,.849,19,196,215,226,37,13,143,123,1066
426,Mike Scott\scottmi01,PF,31,PHI,56,7,959,110,278,.396,62,182,.341,48,96,.500,.507,24,27,.889,44,143,187,32,17,4,20,68,306
427,Thabo Sefolosha\sefolth01,PF,35,HOU,39,0,417,37,89,.416,15,53,.283,22,36,.611,.500,3,8,.375,21,69,90,24,23,12,14,42,92
428,Collin Sexton\sextoco01,SG,21,CLE,56,56,1805,423,923,.458,77,210,.367,346,713,.485,.500,188,221,.851,55,121,176,157,54,7,124,120,1111
429,Landry Shamet\shamela01,SG,22,LAC,39,27,1145,133,309,.430,95,235,.404,38,74,.514,.584,46,51,.902,4,75,79,73,17,8,31,117,407
430,Marial Shayok\shayoma01,SG,24,PHI,2,0,10,1,5,.200,1,3,.333,0,2,.000,.300,0,0,,0,3,3,1,0,0,1,0,3
431,Iman Shumpert\shumpim01,SG,29,BRK,13,0,241,21,64,.328,8,33,.242,13,31,.419,.391,4,7,.571,9,25,34,12,12,2,10,21,54
432,Pascal Siakam\siakapa01,PF,25,TOR,46,46,1607,405,872,.464,99,270,.367,306,602,.508,.521,182,225,.809,53,293,346,158,44,43,110,125,1091
433,Chris Silva\silvach01,PF,23,MIA,38,0,294,42,66,.636,0,2,.000,42,64,.656,.636,32,47,.681,51,54,105,19,9,17,31,78,116
434,Ben Simmons\simmobe01,PG,23,PHI,54,54,1930,361,617,.585,2,6,.333,359,611,.588,.587,178,284,.627,108,315,423,442,115,32,192,173,902
435,Anfernee Simons\simonan01,SG,20,POR,57,4,1265,191,471,.406,66,197,.335,125,274,.456,.476,67,83,.807,22,117,139,86,20,9,54,114,515
436,Alen Smailagić\smailal01,PF,19,GSW,14,0,139,20,40,.500,3,13,.231,17,27,.630,.538,16,19,.842,10,17,27,13,3,4,11,14,59
437,Marcus Smart\smartma01,SG,25,BOS,45,31,1429,188,493,.381,102,289,.353,86,204,.422,.485,85,105,.810,31,133,164,216,72,22,74,119,563
438,Dennis Smith\smithde03,PG,22,NYK,31,2,480,61,182,.335,15,50,.300,46,132,.348,.376,22,46,.478,19,51,70,90,21,8,52,58,159
439,Ish Smith\smithis01,PG,31,WAS,55,18,1457,245,541,.453,51,143,.357,194,398,.487,.500,45,67,.672,27,149,176,261,48,23,69,78,586
440,Zhaire Smith\smithzh01,SG,20,PHI,7,0,32,3,11,.273,0,3,.000,3,8,.375,.273,2,4,.500,0,2,2,2,3,0,2,4,8
441,Tony Snell\snellto01,SF,28,DET,52,50,1420,152,336,.452,93,226,.412,59,110,.536,.591,22,22,1.000,7,85,92,96,25,12,26,83,419
442,Omari Spellman\spellom01,PF,22,GSW,49,3,886,127,295,.431,43,110,.391,84,185,.454,.503,73,92,.793,77,142,219,47,33,24,54,63,370
443,Max Strus\strusma01,SG,23,CHI,2,0,6,2,3,.667,0,1,.000,2,2,1.000,.667,1,1,1.000,1,0,1,0,0,0,0,1,5
444,Edmond Sumner\sumneed01,PG,24,IND,20,2,268,35,80,.438,8,26,.308,27,54,.500,.488,8,13,.615,8,21,29,28,13,6,15,28,86
445,Caleb Swanigan\swanica01,PF,22,TOT,19,1,208,20,38,.526,0,2,.000,20,36,.556,.526,5,12,.417,22,51,73,16,2,6,24,42,45
445,Caleb Swanigan\swanica01,PF,22,SAC,7,0,23,2,4,.500,0,0,,2,4,.500,.500,1,2,.500,2,5,7,2,1,2,6,8,5
445,Caleb Swanigan\swanica01,PF,22,POR,12,1,185,18,34,.529,0,2,.000,18,32,.563,.529,4,10,.400,20,46,66,14,1,4,18,34,40
446,Jayson Tatum\tatumja01,PF,21,BOS,52,52,1779,426,957,.445,139,360,.386,287,597,.481,.518,199,242,.822,54,309,363,151,71,47,113,110,1190
447,Jeff Teague\teaguje01,PG,31,TOT,50,16,1289,185,426,.434,38,103,.369,147,323,.455,.479,155,178,.871,21,99,120,279,40,16,105,97,563
447,Jeff Teague\teaguje01,PG,31,MIN,34,13,945,145,324,.448,33,87,.379,112,237,.473,.498,125,144,.868,15,73,88,208,25,13,76,70,448
447,Jeff Teague\teaguje01,PG,31,ATL,16,3,344,40,102,.392,5,16,.313,35,86,.407,.417,30,34,.882,6,26,32,71,15,3,29,27,115
448,Garrett Temple\templga01,SG,33,BRK,50,31,1412,178,474,.376,102,312,.327,76,162,.469,.483,53,69,.768,25,149,174,123,40,21,53,89,511
449,Daniel Theis\theisda01,C,27,BOS,50,49,1159,177,317,.558,23,69,.333,154,248,.621,.595,64,87,.736,110,214,324,77,32,66,42,174,441
450,Isaiah Thomas\thomais02,PG,30,WAS,40,37,925,174,426,.408,78,189,.413,96,237,.405,.500,62,76,.816,11,57,68,146,13,6,77,77,488
451,Khyri Thomas\thomakh01,SG,23,DET,2,0,6,0,0,,0,0,,0,0,,,1,2,.500,0,0,0,0,0,0,0,0,1
452,Matt Thomas\thomama02,SG,25,TOR,26,0,267,45,88,.511,31,61,.508,14,27,.519,.688,5,7,.714,4,31,35,14,7,0,10,23,126
453,Tristan Thompson\thomptr01,C,28,CLE,52,48,1583,265,512,.518,8,16,.500,257,496,.518,.525,93,146,.637,213,321,534,108,32,46,98,114,631
454,Matisse Thybulle\thybuma01,SG,22,PHI,49,10,981,80,199,.402,47,128,.367,33,71,.465,.520,24,37,.649,26,49,75,58,69,40,41,109,231
455,Anthony Tolliver\tollian01,PF,34,TOT,42,9,636,46,134,.343,32,104,.308,14,30,.467,.463,14,21,.667,29,92,121,32,12,10,25,60,138
455,Anthony Tolliver\tollian01,PF,34,POR,33,9,554,43,117,.368,30,89,.337,13,28,.464,.496,13,19,.684,27,83,110,29,8,9,21,54,129
455,Anthony Tolliver\tollian01,PF,34,SAC,9,0,82,3,17,.176,2,15,.133,1,2,.500,.235,1,2,.500,2,9,11,3,4,1,4,6,9
456,Juan Toscano-Anderson\toscaju01,SF,26,GSW,5,0,100,16,28,.571,5,9,.556,11,19,.579,.661,1,1,1.000,1,20,21,11,6,3,6,7,38
457,Karl-Anthony Towns\townska01,C,24,MIN,35,35,1187,316,622,.508,114,277,.412,202,345,.586,.600,180,226,.796,95,283,378,153,33,42,110,117,926
458,Gary Trent\trentga02,SG,21,POR,45,4,838,114,266,.429,66,162,.407,48,104,.462,.553,21,24,.875,18,51,69,42,33,11,13,54,315
459,Allonzo Trier\trieral01,PG,24,NYK,20,1,246,37,85,.435,15,46,.326,22,39,.564,.524,31,39,.795,4,22,26,24,2,4,20,24,120
460,P.J. Tucker\tuckepj01,PF,34,HOU,56,56,1952,148,336,.440,85,227,.374,63,109,.578,.567,37,44,.841,85,301,386,89,64,24,59,185,418
461,Rayjon Tucker\tuckera01,SG,22,UTA,13,0,75,8,19,.421,0,6,.000,8,13,.615,.421,3,5,.600,2,10,12,2,1,0,3,7,19
462,Evan Turner\turneev01,PG,31,ATL,19,0,251,25,67,.373,0,5,.000,25,62,.403,.373,12,14,.857,8,30,38,38,9,8,26,20,62
463,Myles Turner\turnemy01,C,23,IND,47,47,1367,194,434,.447,66,197,.335,128,237,.540,.523,96,126,.762,55,236,291,56,36,89,60,117,550
464,Jonas Valančiūnas\valanjo01,C,27,MEM,53,53,1371,327,562,.582,27,72,.375,300,490,.612,.606,93,129,.721,152,408,560,97,24,62,95,141,774
465,Denzel Valentine\valende01,SF,26,CHI,30,0,366,66,164,.402,36,101,.356,30,63,.476,.512,5,5,1.000,4,53,57,34,20,5,20,40,173
466,Jarred Vanderbilt\vandeja01,SF-PF,20,TOT,11,0,46,5,8,.625,0,1,.000,5,7,.714,.625,2,2,1.000,3,6,9,2,3,1,7,6,12
466,Jarred Vanderbilt\vandeja01,SF,20,DEN,9,0,41,5,7,.714,0,0,,5,7,.714,.714,0,0,,3,5,8,2,3,1,7,6,10
466,Jarred Vanderbilt\vandeja01,PF,20,MIN,2,0,5,0,1,.000,0,1,.000,0,0,,.000,2,2,1.000,0,1,1,0,0,0,0,0,2
467,Fred VanVleet\vanvlfr01,PG,25,TOR,47,47,1682,282,687,.410,128,329,.389,154,358,.430,.504,139,165,.842,18,160,178,316,90,13,107,113,831
468,Gabe Vincent\vincega01,PG,23,MIA,4,0,41,4,19,.211,4,16,.250,0,3,.000,.316,0,0,,0,3,3,3,1,0,0,2,12
469,Noah Vonleh\vonleno01,C-PF,24,TOT,31,1,361,49,88,.557,3,15,.200,46,73,.630,.574,24,30,.800,35,86,121,26,11,6,21,38,125
469,Noah Vonleh\vonleno01,C,24,MIN,29,1,347,47,86,.547,2,14,.143,45,72,.625,.558,23,28,.821,34,82,116,26,11,6,19,36,119
469,Noah Vonleh\vonleno01,PF,24,DEN,2,0,14,2,2,1.000,1,1,1.000,1,1,1.000,1.250,1,2,.500,1,4,5,0,0,0,2,2,6
470,Nikola Vučević\vucevni01,C,29,ORL,45,45,1452,347,758,.458,75,222,.338,272,536,.507,.507,92,118,.780,119,369,488,165,43,42,65,101,861
471,Dean Wade\wadede01,PF,23,CLE,10,0,54,7,10,.700,2,3,.667,5,7,.714,.800,0,1,.000,2,14,16,1,2,3,3,7,16
472,Moritz Wagner\wagnemo01,C,22,WAS,28,4,557,116,202,.574,23,65,.354,93,137,.679,.631,48,60,.800,37,119,156,36,18,16,50,100,303
473,Dion Waiters\waitedi01,SG,28,MIA,3,0,42,10,26,.385,8,17,.471,2,9,.222,.538,0,1,.000,0,11,11,3,0,2,3,5,28
474,Kemba Walker\walkeke02,PG,29,BOS,46,46,1481,332,773,.429,156,402,.388,176,371,.474,.530,181,209,.866,31,158,189,230,45,25,97,73,1001
475,Lonnie Walker\walkelo01,SG,21,SAS,48,3,670,104,241,.432,24,63,.381,80,178,.449,.481,38,53,.717,18,82,100,37,24,9,27,59,270
476,Tyrone Wallace\wallaty01,SG,25,ATL,14,0,160,14,44,.318,1,15,.067,13,29,.448,.330,11,17,.647,3,19,22,13,7,1,10,19,40
477,Taurean Waller-Prince\princta02,SF,25,BRK,55,55,1625,246,640,.384,133,378,.352,113,262,.431,.488,55,71,.775,43,292,335,109,51,23,110,133,680
478,Derrick Walton\waltode01,PG,24,LAC,23,1,222,17,36,.472,9,21,.429,8,15,.533,.597,7,9,.778,2,13,15,22,4,0,4,19,50
479,Brad Wanamaker\wanambr01,PG,30,BOS,55,0,1040,118,281,.420,29,78,.372,89,203,.438,.472,94,102,.922,15,95,110,146,40,11,61,103,359
480,T.J. Warren\warretj01,SF,26,IND,54,54,1743,399,761,.524,60,163,.368,339,598,.567,.564,139,173,.803,53,154,207,75,65,25,64,148,997
481,P.J. Washington\washipj01,PF,21,CHO,49,48,1482,221,475,.465,64,167,.383,157,308,.510,.533,76,115,.661,46,223,269,104,47,39,79,134,582
482,Yuta Watanabe\watanyu01,SG,25,MEM,9,0,49,6,14,.429,2,4,.500,4,10,.400,.500,2,4,.500,1,7,8,1,1,1,1,5,16
483,Tremont Waters\watertr01,PG,22,BOS,9,0,73,10,28,.357,2,15,.133,8,13,.615,.393,6,6,1.000,0,7,7,10,5,2,8,10,28
484,Paul Watson\watsopa01,SF-SG,25,TOT,5,0,25,0,8,.000,0,4,.000,0,4,.000,.000,1,2,.500,0,4,4,5,1,1,0,1,1
484,Paul Watson\watsopa01,SG,25,ATL,2,0,17,0,7,.000,0,3,.000,0,4,.000,.000,0,0,,0,2,2,3,1,0,0,1,0
484,Paul Watson\watsopa01,SF,25,TOR,3,0,8,0,1,.000,0,1,.000,0,0,,.000,1,2,.500,0,2,2,2,0,1,0,0,1
485,Quinndary Weatherspoon\weathqu01,SG,23,SAS,1,0,4,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0
486,Russell Westbrook\westbru01,PG,31,HOU,47,47,1690,497,1066,.466,46,187,.246,451,879,.513,.488,238,302,.788,78,293,371,338,75,16,203,170,1278
487,Coby White\whiteco01,SG,19,CHI,58,0,1435,248,653,.380,110,317,.347,138,336,.411,.464,84,109,.771,26,175,201,139,44,6,92,101,690
488,Derrick White\whitede01,SG,25,SAS,54,11,1284,185,407,.455,50,138,.362,135,269,.502,.516,125,147,.850,28,138,166,181,31,43,62,109,545
489,Hassan Whiteside\whiteha01,C,30,POR,53,53,1640,349,572,.610,2,4,.500,347,568,.611,.612,138,198,.697,213,534,747,65,21,164,102,158,838
490,Andrew Wiggins\wiggian01,SF-SG,24,TOT,47,47,1617,387,863,.448,102,298,.342,285,565,.504,.508,165,230,.717,56,184,240,171,38,45,117,112,1041
490,Andrew Wiggins\wiggian01,SF,24,MIN,42,42,1455,351,790,.444,91,275,.331,260,515,.505,.502,149,207,.720,48,171,219,155,29,36,107,101,942
490,Andrew Wiggins\wiggian01,SG,24,GSW,5,5,162,36,73,.493,11,23,.478,25,50,.500,.568,16,23,.696,8,13,21,16,9,9,10,11,99
491,Grant Williams\willigr01,PF,21,BOS,54,4,835,72,171,.421,20,74,.270,52,97,.536,.480,37,51,.725,54,88,142,56,23,31,44,131,201
492,Johnathan Williams\willijo04,C,24,WAS,11,5,135,16,25,.640,0,2,.000,16,23,.696,.640,3,5,.600,15,28,43,6,1,6,4,11,35
493,Kenrich Williams\willike04,PF,25,NOP,35,18,779,49,143,.343,25,96,.260,24,47,.511,.430,9,24,.375,49,129,178,53,25,21,21,81,132
494,Lou Williams\willilo02,SG,33,LAC,53,8,1593,339,820,.413,95,271,.351,244,549,.444,.471,265,306,.866,25,142,167,310,34,10,160,74,1038
495,Marvin Williams\willima02,PF,33,TOT,44,1,856,99,220,.450,46,124,.371,53,96,.552,.555,45,52,.865,17,101,118,44,30,23,26,76,289
495,Marvin Williams\willima02,PF,33,CHO,41,1,808,94,210,.448,44,117,.376,50,93,.538,.552,43,50,.860,15,94,109,41,26,22,25,71,275
495,Marvin Williams\willima02,PF,33,MIL,3,0,48,5,10,.500,2,7,.286,3,3,1.000,.600,2,2,1.000,2,7,9,3,4,1,1,5,14
496,Robert Williams\williro04,C,22,BOS,19,1,269,33,49,.673,0,0,,33,49,.673,.673,8,14,.571,23,64,87,21,17,21,16,34,74
497,Nigel Williams-Goss\willini01,PG,25,UTA,9,0,28,1,7,.143,0,2,.000,1,5,.200,.143,2,2,1.000,2,3,5,5,1,1,2,2,4
498,Zion Williamson\willizi01,PF,19,NOP,12,12,337,106,181,.586,5,12,.417,101,169,.598,.599,57,94,.606,42,44,86,27,8,5,29,19,274
499,D.J. Wilson\wilsodj01,PF,23,MIL,28,0,243,34,84,.405,11,46,.239,23,38,.605,.470,5,7,.714,7,48,55,18,1,5,14,22,84
500,Justise Winslow\winslju01,SF,23,MIA,11,5,352,50,129,.388,6,27,.222,44,102,.431,.411,18,27,.667,16,57,73,44,7,5,24,38,124
501,Christian Wood\woodch01,PF,24,DET,55,5,1071,221,393,.562,43,113,.381,178,280,.636,.617,153,204,.750,82,242,324,45,25,48,65,82,638
502,Delon Wright\wrighde01,SG,27,DAL,55,4,1169,153,324,.472,36,96,.375,117,228,.513,.528,62,80,.775,59,153,212,185,58,19,53,70,404
503,Justin Wright-Foreman\wrighju02,PG,22,UTA,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
504,Thaddeus Young\youngth01,PF,31,CHI,57,13,1393,237,528,.449,70,192,.365,167,336,.497,.515,36,61,.590,82,196,278,97,75,20,93,118,580
505,Trae Young\youngtr01,PG,21,ATL,52,52,1840,481,1081,.445,184,492,.374,297,589,.504,.530,412,482,.855,29,199,228,477,60,6,255,89,1558
506,Cody Zeller\zelleco01,C,27,CHO,52,33,1200,228,440,.518,17,71,.239,211,369,.572,.538,105,152,.691,144,228,372,75,35,24,65,130,578
507,Ante Žižić\zizican01,C,23,CLE,17,0,168,31,52,.596,0,0,,31,52,.596,.596,14,16,.875,14,41,55,3,7,4,7,20,76
508,Ivica Zubac\zubaciv01,C,22,LAC,56,54,1000,180,302,.596,0,2,.000,180,300,.600,.596,90,122,.738,147,254,401,60,11,56,48,132,450
