Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
96,Marquese Chriss\chrisma01,PF,22,GSW,51,977,19.0,.596,.111,.408,10.1,22.2,15.9,14.3,1.6,5.0,15.0,19.1,,1.5,1.0,2.5,.125,,-1.0,2.2,1.2,0.8
97,Gary Clark\clarkga01,PF,25,TOT,31,378,10.9,.541,.863,.095,6.8,14.5,10.6,4.6,0.5,3.0,3.9,11.5,,0.5,0.3,0.8,.107,,-1.2,-1.1,-2.3,0.0
97,Gary Clark\clarkga01,PF,25,HOU,18,212,11.9,.564,.864,.119,5.4,14.4,9.9,7.6,0.4,2.8,3.1,12.5,,0.4,0.2,0.6,.127,,0.0,-1.1,-1.1,0.0
97,Gary Clark\clarkga01,PF,25,ORL,13,166,9.7,.502,.861,.056,8.6,14.7,11.5,0.8,0.6,3.3,5.1,10.2,,0.1,0.2,0.3,.081,,-2.8,-1.0,-3.9,-0.1
98,Brandon Clarke\clarkbr01,PF,23,MEM,49,1083,21.9,.670,.127,.228,7.6,20.6,14.2,10.1,1.1,3.3,9.1,19.0,,3.1,1.1,4.3,.190,,2.0,0.8,2.8,1.3
99,Jordan Clarkson\clarkjo01,SG,27,TOT,55,1338,18.6,.589,.477,.201,3.1,8.6,5.9,14.2,1.2,0.9,8.6,25.4,,2.7,0.7,3.4,.122,,2.8,-2.7,0.2,0.7
99,Jordan Clarkson\clarkjo01,SG,27,CLE,29,666,18.8,.581,.488,.264,3.5,8.0,5.7,17.1,1.2,1.0,9.7,25.8,,1.4,0.1,1.5,.108,,3.0,-3.6,-0.7,0.2
99,Jordan Clarkson\clarkjo01,SG,27,UTA,26,672,18.5,.597,.467,.140,2.7,9.1,6.1,11.3,1.2,0.9,7.5,25.1,,1.2,0.7,1.9,.136,,2.7,-1.7,1.0,0.5
100,Nicolas Claxton\claxtni01,PF,20,BRK,14,183,14.5,.570,.152,.413,11.0,13.1,12.1,12.8,0.3,3.6,14.2,14.5,,0.3,0.2,0.5,.122,,-1.5,1.3,-0.3,0.1
101,Chris Clemons\clemoch01,SG,22,HOU,28,246,12.7,.547,.750,.056,1.3,8.6,4.9,13.1,1.1,1.7,11.8,24.1,,0.1,0.2,0.2,.048,,-0.8,-3.7,-4.5,-0.2
102,Antonius Cleveland\clevean01,SG,25,DAL,6,22,3.0,.363,.167,.333,0.0,14.0,7.1,0.0,2.2,3.8,12.7,15.3,,-0.1,0.0,0.0,-0.077,,-10.3,-0.7,-11.0,-0.1
103,Amir Coffey\coffeam01,SG,22,LAC,7,67,7.6,.469,.250,.150,3.1,12.0,7.7,8.2,0.7,1.3,8.6,14.4,,0.0,0.1,0.0,.035,,-4.3,-0.5,-4.8,0.0
104,John Collins\collijo01,PF,22,ATL,32,1035,23.2,.648,.236,.232,8.8,25.7,17.1,7.4,1.0,4.4,9.7,22.8,,2.7,1.0,3.7,.170,,1.7,0.0,1.8,1.0
105,Zach Collins\colliza01,PF,22,POR,3,86,9.0,.624,.368,.316,4.8,9.5,7.2,9.2,0.0,2.0,21.7,13.6,,0.1,0.0,0.1,.045,,-1.9,-1.6,-3.4,0.0
106,Mike Conley\conlemi01,PG,32,UTA,33,927,12.9,.507,.415,.258,2.5,10.1,6.5,22.5,1.2,0.4,12.0,23.6,,0.5,0.9,1.4,.071,,-0.2,-0.8,-1.0,0.2
107,Pat Connaughton\connapa01,SG,27,MIL,52,948,11.0,.547,.511,.113,5.1,17.4,11.7,10.8,0.7,2.6,14.7,11.8,,0.7,1.8,2.5,.124,,-1.8,2.3,0.5,0.6
108,Quinn Cook\cookqu01,PG,26,LAL,34,387,10.8,.521,.375,.056,2.0,8.8,5.5,13.8,1.2,0.2,12.3,20.4,,0.0,0.4,0.4,.046,,-2.5,-2.4,-4.9,-0.3
109,Tyler Cook\cookty01,PF,22,CLE,11,35,24.0,.752,.000,.600,12.5,19.1,15.8,4.5,1.4,0.0,7.3,16.6,,0.2,0.0,0.2,.243,,2.3,-3.4,-1.0,0.0
110,Robert Covington\covinro01,PF,29,TOT,54,1602,13.7,.568,.648,.177,2.8,19.2,10.8,6.1,2.5,3.1,11.5,17.7,,0.8,2.1,2.9,.086,,-0.6,1.3,0.7,1.1
110,Robert Covington\covinro01,PF,29,MIN,48,1411,13.6,.572,.629,.190,2.6,19.3,10.7,5.9,2.6,2.6,12.0,17.8,,0.6,1.8,2.4,.082,,-0.6,1.2,0.6,0.9
110,Robert Covington\covinro01,PF,29,HOU,6,191,14.5,.537,.783,.087,4.4,18.8,11.5,7.3,1.7,6.3,7.7,16.8,,0.2,0.3,0.5,.117,,-0.6,2.1,1.6,0.2
111,Allen Crabbe\crabbal01,SG,27,TOT,37,653,6.0,.470,.672,.079,1.8,11.0,6.3,6.9,1.1,0.5,8.5,12.7,,-0.2,0.2,-0.1,-0.005,,-3.3,-2.0,-5.3,-0.5
111,Allen Crabbe\crabbal01,SG,27,ATL,28,522,7.2,.482,.650,.084,2.0,11.4,6.7,7.3,1.3,0.6,7.5,12.8,,0.0,0.2,0.1,.010,,-2.8,-1.7,-4.4,-0.3
111,Allen Crabbe\crabbal01,SG,27,MIN,9,131,1.1,.416,.765,.059,0.8,9.1,4.8,5.2,0.0,0.0,12.5,12.6,,-0.2,0.0,-0.2,-0.066,,-5.5,-3.1,-8.6,-0.2
112,Torrey Craig\craigto01,SF,29,DEN,44,785,9.9,.547,.522,.172,6.2,14.2,10.2,5.0,0.9,3.3,9.4,11.8,,0.7,0.9,1.5,.092,,-1.5,0.7,-0.8,0.2
113,Jae Crowder\crowdja01,SF,29,TOT,50,1463,12.4,.536,.669,.248,3.3,18.7,11.2,11.7,1.9,1.0,10.4,15.7,,1.1,1.5,2.6,.085,,0.2,0.7,0.9,1.1
113,Jae Crowder\crowdja01,SF,29,MEM,45,1322,11.0,.507,.667,.238,3.3,18.6,11.1,12.1,1.7,0.9,10.9,15.6,,0.5,1.2,1.7,.062,,-0.5,0.6,0.2,0.7
113,Jae Crowder\crowdja01,SF,29,MIA,5,141,25.1,.785,.689,.333,4.2,19.0,11.9,7.8,3.8,2.1,5.5,17.0,,0.6,0.3,0.9,.301,,6.5,1.4,7.9,0.3
114,Jarrett Culver\culveja01,SG,20,MIN,54,1315,9.1,.452,.394,.208,4.6,10.1,7.3,11.3,1.8,2.3,11.9,19.2,,-1.4,1.0,-0.4,-0.013,,-3.4,0.1,-3.4,-0.5
115,Seth Curry\curryse01,SG,29,DAL,53,1269,15.3,.625,.563,.163,2.1,8.2,5.2,12.0,1.2,0.5,9.5,18.4,,2.7,0.7,3.4,.128,,2.3,-2.1,0.3,0.7
116,Stephen Curry\curryst01,PG,31,GSW,4,112,20.3,.548,.561,.273,3.7,15.9,9.6,41.9,2.1,1.6,16.9,33.8,,0.1,0.1,0.2,.067,,4.3,-1.3,2.9,0.1
117,Troy Daniels\danietr01,SG,28,LAL,39,446,9.0,.529,.706,.098,3.0,7.7,5.4,4.1,0.9,0.6,5.3,16.0,,0.3,0.4,0.7,.071,,-0.9,-2.6,-3.5,-0.2
118,Anthony Davis\davisan02,PF,26,LAL,48,1665,28.3,.615,.189,.464,7.2,22.1,14.8,15.2,2.1,6.2,10.4,29.6,,5.6,3.4,9.1,.261,,3.4,3.7,7.1,3.8
119,Ed Davis\davised01,C,30,UTA,25,268,7.3,.425,.000,.324,12.3,25.6,19.3,3.8,1.8,2.8,25.1,8.4,,-0.1,0.5,0.4,.078,,-4.6,3.5,-1.0,0.1
120,Terence Davis\daviste02,SG,22,TOR,57,1003,15.5,.616,.564,.117,4.9,15.9,10.5,14.3,1.5,1.1,13.3,18.5,,1.6,1.6,3.1,.151,,1.3,0.3,1.6,0.9
121,Dewayne Dedmon\dedmode01,C,30,TOT,39,664,9.1,.483,.418,.149,7.9,27.6,17.5,4.1,1.3,5.2,19.0,17.8,,-0.8,0.9,0.1,.005,,-6.0,1.2,-4.8,-0.5
121,Dewayne Dedmon\dedmode01,C,30,SAC,34,541,8.6,.477,.415,.164,9.3,26.1,17.4,4.0,1.4,4.6,20.4,18.5,,-0.8,0.7,-0.1,-0.005,,-5.9,0.8,-5.1,-0.4
121,Dewayne Dedmon\dedmode01,C,30,ATL,5,123,11.2,.509,.432,.081,1.7,34.4,17.9,4.6,1.1,8.1,11.5,14.6,,-0.1,0.2,0.1,.051,,-6.3,2.8,-3.5,0.0
122,Matthew Dellavedova\dellama01,PG,29,CLE,48,581,6.8,.422,.531,.215,2.3,8.1,5.1,27.9,1.3,0.1,23.2,13.6,,-0.2,0.0,-0.2,-0.018,,-4.0,-3.3,-7.3,-0.8
123,DeMar DeRozan\derozde01,SF,30,SAS,54,1842,21.6,.600,.034,.416,2.0,15.7,8.8,24.6,1.4,0.6,11.5,27.1,,4.5,1.0,5.5,.144,,2.2,-1.1,1.1,1.5
124,Cheick Diallo\diallch01,C,23,PHO,39,421,16.9,.702,.016,.287,6.2,23.9,14.8,7.3,1.1,2.3,15.9,16.5,,0.8,0.5,1.3,.143,,-1.8,0.2,-1.6,0.0
125,Hamidou Diallo\diallha01,SF,21,OKC,33,621,8.8,.489,.152,.202,4.6,14.4,9.7,4.9,2.0,0.8,13.3,17.6,,-0.5,0.8,0.3,.020,,-4.6,0.0,-4.6,-0.4
126,Gorgui Dieng\dienggo01,C,30,TOT,49,825,18.1,.570,.430,.206,9.1,25.8,17.2,11.2,2.4,4.3,12.7,18.2,,1.1,1.3,2.4,.137,,-0.2,2.6,2.4,0.9
126,Gorgui Dieng\dienggo01,C,30,MIN,46,778,18.0,.563,.433,.213,9.5,25.5,17.3,11.3,2.2,4.5,12.7,18.4,,1.0,1.2,2.1,.133,,-0.3,2.5,2.2,0.8
126,Gorgui Dieng\dienggo01,C,30,MEM,3,47,20.0,.727,.357,.071,2.3,31.0,16.9,9.1,4.9,1.8,12.2,14.6,,0.1,0.1,0.2,.210,,0.8,3.6,4.4,0.1
127,Spencer Dinwiddie\dinwisp01,SG,26,BRK,55,1719,17.9,.536,.380,.421,1.7,9.7,5.8,35.1,1.0,0.9,12.1,29.5,,2.7,1.6,4.4,.122,,2.3,-1.6,0.7,1.2
128,Donte DiVincenzo\divindo01,SG,23,MIL,51,1162,14.6,.559,.481,.157,4.5,14.9,10.0,12.3,2.9,1.1,12.8,16.9,,1.0,2.6,3.6,.149,,-0.1,2.5,2.4,1.3
129,Luka Dončić\doncilu01,PG,20,DAL,45,1477,29.2,.593,.443,.448,4.5,25.6,15.2,46.2,1.5,0.5,14.7,37.4,,5.5,1.8,7.2,.235,,9.4,1.8,11.2,4.9
130,Luguentz Dort\dortlu01,SG,20,OKC,22,462,8.4,.545,.479,.239,3.0,4.8,3.9,4.8,2.2,0.2,9.1,13.6,,0.2,0.4,0.6,.067,,-1.0,-0.5,-1.5,0.1
131,Damyean Dotson\dotsoda01,SG,25,NYK,46,805,11.1,.533,.564,.116,1.0,10.4,5.5,10.3,1.3,0.5,6.5,16.3,,0.6,0.3,1.0,.058,,-0.8,-2.1,-3.0,-0.2
132,Sekou Doumbouya\doumbse01,SF,19,DET,31,629,6.7,.485,.430,.200,2.8,16.0,9.4,3.2,1.4,0.9,12.8,17.2,,-0.6,0.5,-0.2,-0.014,,-4.8,-1.6,-6.4,-0.7
133,PJ Dozier\doziepj01,PG,23,DEN,16,224,9.5,.462,.310,.131,2.5,12.4,7.4,16.4,1.5,2.0,11.0,19.3,,-0.1,0.2,0.1,.029,,-3.7,-0.6,-4.2,-0.1
134,Goran Dragić\dragigo01,PG,33,MIA,45,1270,16.3,.582,.476,.324,1.8,9.7,6.0,28.4,1.0,0.6,15.6,25.6,,1.7,0.9,2.7,.101,,1.6,-2.6,-1.0,0.3
135,Andre Drummond\drumman01,C,26,TOT,53,1752,21.9,.550,.036,.371,15.4,37.5,26.4,13.8,2.8,4.1,18.8,25.6,,0.6,3.5,4.1,.112,,-1.6,4.4,2.8,2.1
135,Andre Drummond\drumman01,C,26,DET,49,1654,22.2,.550,.031,.376,15.3,37.6,26.4,13.9,2.9,4.1,18.0,25.4,,0.9,3.3,4.2,.121,,-1.3,4.5,3.2,2.2
135,Andre Drummond\drumman01,C,26,CLE,4,98,17.2,.551,.122,.293,17.9,35.3,26.5,11.8,2.5,4.4,30.2,28.8,,-0.2,0.1,-0.1,-0.048,,-5.4,2.2,-3.2,0.0
136,Jared Dudley\dudleja01,SF,34,LAL,37,300,7.5,.593,.688,.042,1.9,12.4,7.3,7.3,1.7,0.9,10.9,7.7,,0.3,0.4,0.6,.103,,-1.5,0.7,-0.9,0.1
137,Kris Dunn\dunnkr01,PG,25,CHI,51,1269,12.1,.510,.327,.158,1.9,14.7,8.0,19.7,3.8,1.3,15.7,14.6,,0.3,2.0,2.3,.087,,-2.2,2.6,0.4,0.8
138,Carsen Edwards\edwarca01,SG,21,BOS,33,296,6.5,.442,.602,.126,1.8,12.9,7.4,10.0,1.6,0.9,12.1,17.8,,-0.3,0.4,0.1,.009,,-3.8,-1.0,-4.8,-0.2
139,Henry Ellenson\ellenhe01,PF,23,BRK,5,15,-1.2,.143,.571,.000,14.1,26.7,20.5,8.8,0.0,0.0,0.0,19.5,,-0.1,0.0,-0.1,-0.176,,-9.8,-2.8,-12.6,0.0
140,Wayne Ellington\ellinwa01,SG,32,NYK,28,429,8.4,.515,.799,.097,0.9,10.8,5.7,9.3,1.2,0.4,9.7,15.3,,0.1,0.2,0.3,.031,,-1.4,-2.3,-3.7,-0.2
141,Joel Embiid\embiijo01,C,25,PHI,41,1258,25.0,.583,.235,.532,9.9,32.8,21.4,17.4,1.3,3.8,13.4,32.2,,2.7,2.5,5.1,.196,,1.6,2.2,3.8,1.9
142,James Ennis\ennisja01,SF,29,TOT,52,827,11.9,.555,.465,.278,7.0,14.0,10.5,7.2,1.3,1.4,10.9,15.8,,0.8,1.0,1.8,.107,,-1.2,-0.4,-1.5,0.1
142,James Ennis\ennisja01,SF,29,PHI,49,776,12.3,.564,.469,.270,6.8,14.3,10.6,7.4,1.4,1.5,10.9,15.8,,0.8,1.0,1.9,.115,,-0.9,-0.1,-1.1,0.2
142,James Ennis\ennisja01,SF,29,ORL,3,51,6.0,.425,.400,.400,10.0,8.7,9.4,2.8,0.0,0.0,10.2,16.7,,0.0,0.0,0.0,-0.015,,-5.1,-3.8,-8.9,-0.1
143,Drew Eubanks\eubandr01,PF,22,SAS,8,42,20.3,.705,.000,.200,15.3,28.1,21.7,7.6,0.0,2.1,23.5,22.0,,0.1,0.0,0.1,.120,,-1.4,-2.4,-3.8,0.0
144,Jacob Evans\evansja02,SG,22,TOT,28,415,5.7,.439,.286,.218,2.2,8.6,5.3,10.9,1.3,2.6,14.6,17.5,,-0.6,0.2,-0.5,-0.054,,-6.3,-1.3,-7.6,-0.6
144,Jacob Evans\evansja02,SG,22,GSW,27,414,5.7,.439,.286,.218,2.3,8.6,5.3,10.9,1.3,2.6,14.6,17.6,,-0.6,0.2,-0.5,-0.054,,-6.3,-1.3,-7.6,-0.6
144,Jacob Evans\evansja02,SG,22,MIN,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.010,,-6.7,-0.2,-6.9,0.0
145,Dante Exum\exumda01,SG,24,TOT,34,479,10.5,.581,.356,.364,2.8,12.4,7.6,11.7,1.3,1.1,18.5,15.0,,0.2,0.2,0.4,.043,,-2.3,-0.9,-3.2,-0.1
145,Dante Exum\exumda01,SG,24,UTA,11,83,4.9,.503,.261,.087,4.1,11.3,7.9,11.8,0.6,2.0,29.5,17.8,,-0.2,0.1,-0.1,-0.049,,-6.4,0.3,-6.1,-0.1
145,Dante Exum\exumda01,SG,24,CLE,23,396,11.7,.597,.379,.432,2.5,12.7,7.5,11.7,1.5,0.9,15.7,14.4,,0.4,0.1,0.5,.063,,-1.5,-1.1,-2.6,-0.1
146,Tacko Fall\fallta01,C,24,BOS,6,24,23.9,.713,.000,.250,0.0,48.8,24.6,0.0,0.0,7.7,18.4,29.0,,0.0,0.1,0.1,.101,,-9.3,-4.4,-13.7,-0.1
147,Derrick Favors\favorde01,C,28,NOP,38,909,19.3,.627,.023,.212,13.8,30.3,22.0,10.7,1.1,3.4,14.5,15.0,,2.0,1.1,3.1,.166,,0.1,2.4,2.5,1.0
148,Cristiano Felício\feliccr01,PF,27,CHI,18,337,12.4,.683,.043,.489,14.7,14.0,14.3,4.9,1.3,0.3,24.0,9.5,,0.6,0.3,0.8,.121,,-1.1,0.0,-1.1,0.1
149,Terrance Ferguson\fergute01,SF,21,OKC,43,1054,4.1,.512,.778,.074,2.3,4.8,3.6,5.0,1.1,1.0,13.4,8.8,,-0.1,0.7,0.7,.030,,-1.6,0.3,-1.3,0.2
150,Bruno Fernando\fernabr01,C,21,ATL,47,569,11.8,.544,.197,.280,11.1,19.0,15.0,10.0,1.2,2.3,18.5,15.8,,0.2,0.4,0.6,.050,,-2.9,-0.1,-2.9,-0.1
151,Yogi Ferrell\ferreyo01,PG,26,SAC,42,467,11.5,.510,.402,.213,1.4,10.0,5.5,17.8,1.5,0.8,11.4,18.9,,0.2,0.3,0.5,.048,,-2.4,-2.1,-4.5,-0.3
152,Dorian Finney-Smith\finnedo01,PF,26,DAL,57,1701,12.1,.587,.585,.209,7.3,12.3,9.8,6.8,1.1,1.6,11.2,12.8,,2.5,1.2,3.8,.107,,1.2,0.4,1.6,1.6
153,Bryn Forbes\forbebr01,SG,26,SAS,56,1413,11.2,.560,.653,.144,0.9,8.0,4.5,10.3,1.1,0.0,7.8,18.4,,1.2,0.2,1.4,.047,,1.1,-3.3,-2.2,-0.1
154,Evan Fournier\fournev01,SG,27,ORL,55,1746,16.4,.595,.463,.240,0.8,8.4,4.4,16.8,1.7,0.5,11.3,24.4,,2.3,1.6,3.9,.108,,2.2,-1.9,0.2,1.0
155,De'Aaron Fox\foxde01,PG,22,SAC,38,1202,19.7,.546,.214,.439,2.4,12.7,7.4,36.5,2.2,1.6,15.4,29.6,,1.4,1.1,2.5,.101,,1.6,0.0,1.6,1.1
156,Melvin Frazier\frazime01,SG,23,ORL,14,48,9.2,.480,.412,.235,2.1,6.9,4.4,3.1,4.1,3.8,9.6,18.8,,-0.1,0.1,0.0,.035,,-4.7,1.3,-3.3,0.0
157,Michael Frazier\frazimi01,SG,25,HOU,8,66,2.4,.513,.727,.545,1.6,3.2,2.4,1.9,1.4,0.0,12.8,9.8,,0.0,0.0,0.0,.017,,-3.8,-2.1,-5.9,-0.1
158,Tim Frazier\fraziti01,PG,29,DET,27,355,9.8,.464,.319,.255,2.8,7.7,5.2,36.3,1.9,0.9,25.6,17.2,,-0.1,0.2,0.1,.019,,-3.9,-2.6,-6.5,-0.4
159,Markelle Fultz\fultzma01,PG,21,ORL,55,1548,14.4,.522,.177,.208,1.6,11.7,6.5,28.8,2.3,0.5,15.1,20.8,,0.5,1.8,2.3,.071,,-1.5,-0.1,-1.6,0.2
160,Wenyen Gabriel\gabriwe01,PF,22,TOT,20,145,7.0,.461,.382,.412,8.0,11.1,9.6,3.7,1.7,3.1,16.6,14.3,,-0.1,0.1,0.0,.004,,-4.4,-0.3,-4.7,-0.1
160,Wenyen Gabriel\gabriwe01,PF,22,SAC,11,61,7.6,.444,.471,.588,7.1,11.5,9.2,6.7,2.4,3.1,18.9,18.9,,-0.1,0.1,0.0,-0.028,,-5.3,0.2,-5.1,0.0
160,Wenyen Gabriel\gabriwe01,PF,22,POR,9,84,6.6,.480,.294,.235,8.7,10.9,9.8,1.5,1.1,3.0,13.8,11.0,,0.0,0.0,0.0,.028,,-3.7,-0.7,-4.5,-0.1
161,Daniel Gafford\gaffoda01,C,21,CHI,36,483,16.5,.666,.000,.432,9.4,10.9,10.1,5.1,1.2,9.0,14.8,13.7,,0.8,0.7,1.5,.146,,-2.0,3.9,1.9,0.5
162,Danilo Gallinari\gallida01,PF,31,OKC,49,1501,19.6,.614,.540,.359,2.4,17.3,10.1,11.4,1.1,0.2,8.1,24.3,,3.8,1.5,5.3,.170,,3.4,-1.7,1.7,1.4
163,Langston Galloway\gallola01,SG,28,DET,59,1528,12.3,.588,.618,.172,2.1,7.6,4.8,9.0,1.3,0.5,6.7,15.6,,2.3,0.6,2.9,.091,,1.1,-1.8,-0.7,0.5
164,Darius Garland\garlada01,PG,20,CLE,55,1685,8.5,.499,.436,.108,1.6,5.2,3.3,18.7,1.2,0.1,17.5,20.8,,-1.2,-0.1,-1.3,-0.037,,-2.4,-3.4,-5.8,-1.6
165,Marc Gasol\gasolma01,C,35,TOR,35,974,12.1,.551,.537,.156,3.2,20.7,12.2,16.8,1.4,3.3,14.8,12.7,,0.9,1.8,2.7,.134,,-1.0,3.6,2.6,1.1
166,Rudy Gay\gayru01,PF,33,SAS,53,1105,14.2,.542,.371,.243,4.6,22.6,13.6,11.6,1.0,1.8,12.9,20.9,,0.5,0.8,1.2,.054,,-1.4,-0.9,-2.3,-0.1
167,Paul George\georgpa01,SF,29,LAC,34,1001,20.3,.578,.495,.277,1.6,19.3,10.6,21.5,2.1,1.6,13.8,30.6,,1.3,1.6,2.9,.140,,2.8,0.8,3.5,1.4
168,Taj Gibson\gibsota01,C,34,NYK,53,872,15.4,.596,.046,.183,10.9,16.9,13.8,8.2,1.3,2.6,13.4,14.5,,1.3,0.7,2.0,.112,,-1.0,0.7,-0.2,0.4
169,Harry Giles\gilesha01,PF,21,SAC,30,406,15.3,.569,.000,.191,7.0,24.7,15.5,14.6,1.7,2.8,15.5,19.4,,0.4,0.5,0.9,.101,,-2.8,1.6,-1.2,0.1
170,Shai Gilgeous-Alexander\gilgesh01,SG,21,OKC,57,2025,17.6,.559,.235,.338,2.4,16.5,9.7,14.7,1.5,1.6,9.8,23.8,,2.6,2.4,5.0,.119,,0.0,0.6,0.6,1.3
171,Rudy Gobert\goberru01,C,27,UTA,54,1869,22.1,.690,.000,.701,11.9,32.4,22.6,6.5,0.9,4.6,15.0,16.7,,5.3,3.6,8.9,.228,,0.9,3.8,4.8,3.2
172,Brandon Goodwin\goodwbr01,PG,24,ATL,28,367,11.4,.493,.467,.156,2.9,15.9,9.4,17.8,1.4,0.9,12.3,23.0,,-0.1,0.2,0.0,.005,,-2.4,-2.3,-4.7,-0.3
173,Aaron Gordon\gordoaa01,PF,24,ORL,50,1615,14.1,.501,.315,.271,5.5,19.5,12.2,15.8,1.2,1.4,10.0,21.0,,0.5,1.9,2.4,.072,,-1.2,0.7,-0.5,0.6
174,Eric Gordon\gordoer01,SG,31,HOU,29,847,11.0,.517,.657,.234,0.9,6.5,3.6,7.6,1.0,1.1,6.6,22.1,,0.3,0.5,0.8,.045,,-1.0,-3.3,-4.3,-0.5
175,Devonte' Graham\grahade01,PG,24,CHO,56,1961,15.4,.528,.613,.243,2.2,9.1,5.5,35.8,1.3,0.7,14.9,24.5,,1.9,0.7,2.7,.066,,2.4,-2.8,-0.4,0.8
176,Treveon Graham\grahatr01,SG,26,TOT,46,803,6.0,.446,.498,.227,4.7,11.9,8.2,5.6,1.2,0.5,9.2,12.9,,-0.3,0.4,0.1,.005,,-3.7,-1.2,-4.9,-0.6
176,Treveon Graham\grahatr01,SG,26,MIN,33,663,6.1,.447,.474,.211,4.4,11.6,7.9,6.2,1.2,0.2,9.0,13.1,,-0.2,0.3,0.1,.006,,-3.6,-1.1,-4.7,-0.4
176,Treveon Graham\grahatr01,SG,26,ATL,13,140,5.8,.440,.625,.313,6.1,13.2,9.6,2.8,1.3,1.8,9.9,12.0,,-0.1,0.1,0.0,-0.002,,-4.3,-1.6,-5.9,-0.1
177,Jerami Grant\grantje01,PF,25,DEN,56,1465,13.7,.576,.398,.306,3.6,11.4,7.5,6.1,1.2,3.0,7.8,17.5,,1.9,1.5,3.4,.112,,-0.3,0.0,-0.3,0.6
178,Josh Gray\grayjo01,PG,26,NOP,2,23,-5.0,.500,.000,.000,4.5,4.6,4.6,10.4,0.0,0.0,71.4,12.5,,-0.1,0.0,-0.1,-0.228,,-11.3,-1.7,-13.0,-0.1
179,Danny Green\greenda02,SG,32,LAL,54,1347,11.3,.564,.701,.115,3.2,11.6,7.5,6.9,2.4,1.8,10.6,14.2,,1.0,2.0,3.0,.106,,0.4,1.3,1.7,1.3
180,Draymond Green\greendr01,PF,29,GSW,42,1212,12.7,.488,.410,.263,2.0,22.3,11.7,31.1,2.3,2.4,21.3,15.7,,-0.1,1.3,1.1,.045,,-2.6,1.8,-0.8,0.4
181,JaMychal Green\greenja01,PF,29,LAC,47,971,10.3,.539,.676,.162,7.1,23.9,15.7,4.6,1.1,1.5,12.6,13.5,,0.5,1.5,2.0,.099,,-1.4,0.6,-0.8,0.3
182,Javonte Green\greenja02,SF,26,BOS,41,375,13.0,.569,.245,.383,4.6,15.0,9.9,7.7,2.8,1.2,12.7,14.3,,0.3,0.6,1.0,.122,,-1.8,1.3,-0.4,0.1
183,Jeff Green\greenje02,PF,33,TOT,32,591,10.5,.542,.539,.319,2.9,12.9,8.1,5.3,1.1,1.4,12.1,19.5,,0.0,0.6,0.7,.056,,-2.0,-0.8,-2.8,-0.1
183,Jeff Green\greenje02,PF,33,UTA,30,553,10.1,.523,.533,.323,2.9,12.6,8.0,5.2,1.1,1.5,10.8,19.7,,0.0,0.6,0.6,.053,,-2.1,-0.7,-2.9,-0.1
183,Jeff Green\greenje02,PF,33,HOU,2,38,15.7,.962,.667,.222,2.7,16.6,9.6,7.8,1.2,0.0,33.6,16.1,,0.1,0.0,0.1,.104,,0.4,-2.1,-1.7,0.0
184,Blake Griffin\griffbl01,PF,30,DET,18,512,12.0,.476,.444,.392,3.7,14.8,9.2,17.8,0.7,1.1,12.0,28.3,,-0.3,0.3,-0.1,-0.007,,-2.1,-2.4,-4.5,-0.3
185,Marko Guduric\gudurma01,SG,24,MEM,35,444,7.7,.496,.511,.163,2.9,12.2,7.6,12.0,1.2,1.4,18.4,17.4,,-0.4,0.3,-0.1,-0.009,,-3.7,-1.0,-4.7,-0.3
186,Kyle Guy\guyky01,SG,22,SAC,2,4,9.9,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,,0.0,0.0,0.0,-0.022,,-3.4,-7.5,-10.9,0.0
187,Rui Hachimura\hachiru01,PF,21,WAS,32,923,14.6,.543,.157,.194,5.6,17.7,11.4,8.4,1.3,0.5,7.1,19.7,,1.0,0.2,1.3,.066,,-1.1,-2.1,-3.2,-0.3
188,Devon Hall\hallde01,SG,24,OKC,5,20,3.6,.370,.400,.800,0.0,5.3,2.8,19.1,0.0,0.0,12.9,17.1,,0.0,0.0,0.0,-0.060,,-6.9,-4.6,-11.5,0.0
189,Tim Hardaway\hardati02,SG,27,DAL,54,1492,15.2,.581,.577,.188,1.5,9.9,5.8,10.8,1.0,0.2,6.8,21.6,,2.7,0.8,3.5,.113,,2.1,-2.8,-0.7,0.5
190,James Harden\hardeja01,SG,30,HOU,53,1958,29.3,.622,.554,.520,3.0,15.3,9.1,34.4,2.1,2.3,13.4,36.5,,8.4,2.3,10.7,.263,,9.3,0.2,9.5,5.7
191,Maurice Harkless\harklma01,SF,26,TOT,52,1183,9.5,.579,.342,.187,4.3,13.7,9.0,5.5,2.0,2.2,16.2,10.2,,0.5,1.7,2.2,.090,,-1.8,2.8,1.0,0.9
191,Maurice Harkless\harklma01,SF,26,LAC,50,1141,9.6,.584,.336,.194,4.3,13.5,9.0,5.5,2.0,2.3,16.3,10.2,,0.5,1.7,2.2,.093,,-1.6,2.9,1.2,0.9
