Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
26,Harrison Barnes\barneha02,PF,27,SAC,56,1947,13.4,.573,.341,.348,2.9,13.0,7.8,9.6,0.8,0.4,8.6,17.7,,2.7,0.9,3.7,.090,,-0.1,-1.1,-1.2,0.4
27,RJ Barrett\barrerj01,SG,19,NYK,46,1399,10.0,.464,.265,.350,3.3,14.8,8.8,12.2,1.5,1.1,12.5,23.5,,-1.6,0.9,-0.7,-0.023,,-3.7,-0.8,-4.5,-0.9
28,Will Barton\bartowi01,SF,29,DEN,50,1656,15.9,.542,.371,.187,4.9,16.8,10.8,16.6,1.6,1.4,9.3,19.9,,2.3,1.9,4.2,.121,,1.0,0.7,1.7,1.6
29,Keita Bates-Diop\bateske01,SF,24,TOT,39,665,12.7,.541,.452,.332,3.2,14.9,8.8,6.6,1.2,2.6,5.5,15.7,,0.7,0.5,1.2,.084,,-1.8,-0.5,-2.3,-0.1
29,Keita Bates-Diop\bateske01,SF,24,MIN,37,646,12.6,.535,.456,.316,3.3,15.0,8.9,6.8,1.2,2.6,5.6,15.9,,0.6,0.5,1.1,.080,,-1.9,-0.5,-2.3,-0.1
29,Keita Bates-Diop\bateske01,SF,24,DEN,2,19,15.9,.931,.000,2.000,0.0,11.7,5.8,0.0,0.0,4.8,0.0,8.6,,0.1,0.0,0.1,.221,,-1.0,-1.4,-2.4,0.0
30,Nicolas Batum\batumni01,SF,31,CHO,22,505,9.2,.463,.605,.123,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.3,,0.2,0.4,0.6,.053,,-2.7,1.3,-1.4,0.1
31,Aron Baynes\baynear01,C,33,PHO,35,780,14.9,.585,.424,.201,7.5,19.9,13.5,12.4,0.5,2.2,11.0,20.2,,1.1,0.7,1.8,.108,,0.6,-0.5,0.1,0.4
32,Kent Bazemore\bazemke01,SF-SG,30,TOT,56,1386,9.0,.493,.480,.269,1.6,15.5,8.6,7.1,2.1,2.2,13.0,17.1,,-0.8,1.2,0.5,.016,,-3.0,0.5,-2.5,-0.2
32,Kent Bazemore\bazemke01,SF,30,POR,43,1111,7.6,.475,.525,.221,1.2,14.6,8.0,7.2,1.9,2.3,14.4,15.9,,-1.0,0.9,-0.1,-0.004,,-3.2,0.6,-2.6,-0.2
32,Kent Bazemore\bazemke01,SG,30,SAC,13,275,14.8,.543,.343,.419,3.2,19.5,11.1,6.5,2.8,1.7,8.8,21.6,,0.2,0.4,0.6,.097,,-2.0,-0.2,-2.2,0.0
33,Darius Bazley\bazleda01,PF,19,OKC,53,909,8.2,.475,.435,.204,2.6,20.5,11.9,4.3,1.1,3.3,13.8,14.1,,-0.8,1.2,0.4,.022,,-5.0,1.2,-3.8,-0.4
34,Bradley Beal\bealbr01,SG,26,WAS,48,1709,22.6,.573,.360,.367,2.9,10.8,6.7,28.4,1.4,1.0,11.5,33.9,,3.8,0.3,4.0,.113,,4.8,-3.1,1.7,1.6
35,Malik Beasley\beaslma01,SG,23,TOT,46,914,11.8,.530,.534,.129,1.8,11.3,6.5,9.5,1.8,0.8,10.1,21.4,,0.1,0.9,1.0,.050,,-1.2,-1.8,-3.0,-0.2
35,Malik Beasley\beaslma01,SG,23,DEN,41,746,10.5,.511,.535,.126,1.3,10.1,5.7,9.1,2.1,0.7,10.2,20.5,,-0.1,0.8,0.6,.040,,-1.9,-1.6,-3.4,-0.3
35,Malik Beasley\beaslma01,SG,23,MIN,5,168,17.4,.596,.529,.138,3.6,16.8,10.0,11.2,0.8,1.0,9.8,25.1,,0.2,0.1,0.3,.093,,1.5,-2.8,-1.3,0.0
36,Marco Belinelli\belinma01,SG,33,SAS,48,725,9.5,.502,.560,.164,0.4,11.1,5.8,11.6,0.6,0.0,5.0,16.8,,0.3,0.1,0.4,.026,,-1.2,-3.6,-4.8,-0.5
37,Jordan Bell\belljo01,C,25,MIN,27,235,14.2,.570,.150,.483,12.1,23.1,17.4,8.7,0.4,3.5,19.8,15.9,,0.2,0.2,0.4,.075,,-3.5,0.3,-3.1,-0.1
38,DeAndre' Bembry\bembrde01,SG,25,ATL,43,915,9.6,.500,.285,.211,4.0,14.0,8.9,12.3,2.8,1.7,19.4,14.0,,-0.5,0.8,0.3,.013,,-3.6,1.4,-2.2,-0.1
39,Dragan Bender\bendedr01,SF,22,TOT,8,111,8.9,.513,.483,.172,1.9,19.7,11.3,14.0,0.0,4.7,13.8,13.5,,0.0,0.2,0.2,.086,,-3.8,1.9,-1.9,0.0
39,Dragan Bender\bendedr01,SF,22,MIL,7,91,8.5,.582,.429,.143,0.0,20.3,10.8,12.3,0.0,4.8,18.3,12.4,,0.0,0.2,0.2,.109,,-4.2,2.6,-1.6,0.0
39,Dragan Bender\bendedr01,SF,22,GSW,1,20,10.9,.338,.625,.250,10.4,16.7,13.4,21.6,0.0,4.5,0.0,18.9,,0.0,0.0,0.0,-0.016,,-2.1,-1.1,-3.3,0.0
40,Dāvis Bertāns\bertada01,PF,27,WAS,46,1354,15.5,.626,.757,.192,2.6,15.1,8.6,8.5,1.1,1.9,8.0,18.4,,2.7,0.4,3.0,.107,,3.1,-2.1,1.0,1.0
41,Patrick Beverley\beverpa01,PG,31,LAC,40,1121,13.1,.549,.605,.131,4.8,16.2,10.6,18.9,2.1,2.0,14.9,13.3,,1.3,1.7,3.0,.130,,1.0,2.9,3.9,1.7
42,Khem Birch\birchkh01,C,27,ORL,38,773,10.4,.537,.009,.593,9.2,15.8,12.4,6.3,1.0,2.5,13.9,9.3,,0.7,0.9,1.6,.098,,-3.3,2.0,-1.4,0.1
43,Goga Bitadze\bitadgo01,C,20,IND,43,371,12.4,.529,.232,.259,6.6,19.6,13.1,7.5,0.5,6.9,14.4,17.3,,0.0,0.5,0.6,.072,,-4.1,2.2,-2.0,0.0
44,Bismack Biyombo\biyombi01,C,27,CHO,47,890,16.2,.568,.000,.541,12.8,20.4,16.5,7.4,0.5,4.0,12.4,17.1,,1.3,0.7,2.0,.109,,-2.4,0.4,-2.0,0.0
45,Nemanja Bjelica\bjeline01,PF,31,SAC,56,1593,16.3,.608,.481,.118,6.4,19.2,12.6,14.8,1.5,1.9,12.6,17.6,,2.9,1.5,4.4,.134,,2.0,1.0,2.9,2.0
46,Eric Bledsoe\bledser01,PG,30,MIL,48,1300,18.8,.579,.303,.284,2.8,13.6,8.6,28.5,1.6,1.5,15.0,24.2,,2.3,2.4,4.8,.177,,1.2,1.1,2.3,1.4
47,Bogdan Bogdanović\bogdabo01,SG,27,SAC,45,1271,13.9,.553,.583,.157,1.4,11.5,6.3,17.0,1.6,0.8,11.9,22.8,,0.8,0.9,1.6,.062,,0.9,-1.7,-0.8,0.4
48,Bojan Bogdanović\bogdabo02,SF,30,UTA,55,1831,16.1,.606,.491,.296,2.1,11.2,6.8,9.7,0.8,0.3,13.0,25.7,,2.5,1.6,4.1,.108,,1.6,-1.7,0.0,0.9
49,Jonah Bolden\boldejo01,PF,24,TOT,7,47,4.9,.392,.364,.364,6.9,14.4,10.6,0.0,3.0,3.7,13.6,13.4,,-0.1,0.1,0.0,-0.004,,-7.5,-0.1,-7.6,-0.1
49,Jonah Bolden\boldejo01,PF,24,PHI,4,14,-2.0,.515,.333,.667,0.0,7.8,3.9,0.0,3.5,0.0,34.0,18.1,,-0.1,0.0,0.0,-0.140,,-10.0,-1.1,-11.0,0.0
49,Jonah Bolden\boldejo01,PF,24,PHO,3,33,7.9,.338,.375,.250,9.8,17.2,13.4,0.0,2.9,5.3,0.0,11.4,,0.0,0.1,0.0,.053,,-6.4,0.3,-6.1,0.0
50,Marques Bolden\boldema01,C,21,CLE,1,3,19.8,,,,0.0,74.3,36.9,0.0,16.2,0.0,,0.0,,0.0,0.0,0.0,.279,,-8.5,10.7,2.2,0.0
51,Jordan Bone\bonejo01,PG,22,DET,10,53,0.8,.300,.500,.000,0.0,8.6,4.2,20.9,0.9,0.0,9.1,18.0,,-0.1,0.0,-0.1,-0.114,,-7.2,-4.1,-11.3,-0.1
